"","caseid","ideol7b","presvote","retecon","white","female","age","educ1_7","income","partyid","bushiraq","exptrnout2"
"203",616,4,0,0,1,1,56,7,22,0,0,1
"204",617,4,1,-0.5,0,0,48,5,11,3,0.333333343267441,1
"205",622,5,0,-0.5,1,0,63,3,18,1,0.666666686534882,1
"206",623,2,0,-0.5,1,0,50,6,17,2,0,1
"207",624,3,0,-1,0,1,33,7,21,1,0,1
"208",631,5,1,0.5,1,0,70,4,12,4,0.666666686534882,1
"209",632,4,0,-0.5,1,0,57,6,7,1,0,1
"210",638,4,0,-1,1,0,27,4,14,2,0,1
"211",640,4,0,-0.5,0,1,45,7,17,0,0,1
"212",644,2,0,-1,0,1,18,2,12,1,0,1
"213",645,6,1,0.5,1,1,30,6,21,5,1,1
"214",646,4,1,0.5,1,0,64,5,22,4,0.666666686534882,1
"215",647,2,1,0.5,0,0,31,5,12,4,1,1
"216",649,6,1,0,1,1,74,4,21,6,0.666666686534882,1
"217",650,2,0,-0.5,1,1,54,7,23,0,0,1
"218",651,1,0,-1,0,1,21,4,20,0,0,1
"219",652,4,0,-1,1,1,69,1,7,0,0,1
"220",653,3,0,-1,1,1,38,7,21,0,0,1
"221",655,2,0,-1,1,1,27,6,11,0,0,1
"222",675,6,1,1,1,0,44,4,23,6,1,1
"223",680,4,1,0.5,1,1,61,7,23,6,1,1
"224",682,6,1,-0.5,1,0,27,4,18,5,0.666666686534882,1
"225",684,4,1,1,0,0,57,7,23,5,0.333333343267441,1
"226",692,6,1,0.5,1,1,60,7,23,6,1,1
"227",694,2,0,-1,1,0,49,2,8,1,0,1
"228",698,2,0,-1,0,0,61,7,1,0,0,1
"229",699,6,1,0.5,0,1,25,6,10,6,1,1
"230",701,6,1,0,1,1,77,3,12,6,1,1
"231",704,4,0,-0.5,0,1,27,4,18,2,0,1
"232",710,4,1,0.5,1,1,61,4,12,3,1,1
"233",717,4,0,0,0,1,83,6,14,2,0,1
"234",718,7,1,0.5,1,1,65,7,12,6,0.666666686534882,1
"235",720,6,1,-0.5,1,1,63,4,17,6,0.666666686534882,1
"236",721,3,0,-1,1,1,63,2,15,0,0,1
"237",727,6,0,-0.5,0,0,26,2,13,0,0.333333343267441,1
"238",731,2,0,-0.5,0,0,23,4,14,0,0,1
"239",735,5,1,0.5,1,1,50,4,18,5,0.666666686534882,1
"240",736,5,0,0,1,1,49,5,18,2,0,1
"241",737,2,0,0,1,0,25,4,12,2,0,1
"242",739,5,0,-1,0,1,60,7,17,1,0,1
"243",740,4,0,-1,1,0,55,4,18,0,1,1
"244",744,5,1,0,1,1,57,3,14,5,0.666666686534882,1
"245",746,4,1,0.5,1,1,49,5,16,1,1,1
"246",752,4,0,0,0,0,50,4,16,1,1,1
"247",755,4,0,-0.5,1,0,45,7,21,1,0,1
"248",759,4,0,0,0,1,23,6,22,2,0,1
"249",760,4,0,-1,0,1,30,3,2,3,0,1
"250",767,3,0,-1,0,1,70,6,19,0,0,1
"251",768,5,1,0.5,1,1,45,7,23,6,1,1
"252",769,6,1,0,1,0,47,6,1,4,0.666666686534882,1
"253",772,3,1,0.5,1,0,36,6,18,6,0.666666686534882,1
